1A,AX-89904231,0
1A,AX-89818458,2.946
1A,AX-89780338,2.946
1A,AX-89818643,2.946
1A,AX-89860623,2.946
1A,AX-89875656,2.946
1A,AX-89780413,3.577
1A,AX-89862703,4.288
1A,AX-89780091,4.288
1A,AX-89780124,4.288
1A,AX-89851081,5.64
1A,AX-89874802,5.64
1A,AX-89874757,5.64
1A,AX-89817638,5.64
1A,AX-89779707,5.64
1A,AX-89803215,5.64
1A,AX-89779695,5.64
1A,AX-89779698,5.64
1A,AX-89779699,5.64
1A,AX-89817742,5.64
1A,AX-89819122,5.64
1A,AX-89872966,5.64
1A,AX-89874883,5.64
1A,AX-89778378,5.64
1A,AX-89812849,5.64
1A,AX-89817657,5.64
1A,AX-89874808,5.64
1A,AX-89817584,6.991
1A,AX-89779696,6.991
1A,AX-89874719,6.991
1A,AX-89817708,6.991
1A,AX-89874835,6.991
1A,AX-89817560,8.343
1A,AX-89817559,8.343
1A,AX-89779454,8.343
1A,AX-89779469,8.343
1A,AX-89803204,8.343
1A,AX-89816742,8.343
1A,AX-89860579,8.343
1A,AX-89874025,8.343
1A,AX-89816729,8.343
1A,AX-89873736,8.681
1A,AX-89817163,8.681
1A,AX-89779575,8.681
1A,AX-89779656,8.681
1A,AX-89806369,8.681
1A,AX-89817397,8.681
1A,AX-89817563,8.681
1A,AX-89817590,8.681
1A,AX-89817632,8.681
1A,AX-89817699,8.681
1A,AX-89867490,8.681
1A,AX-89873901,8.681
1A,AX-89874731,8.681
1A,AX-89779663,8.681
1A,AX-89817184,8.681
1A,AX-89817236,8.681
1A,AX-89817555,8.681
1A,AX-89847031,8.681
1A,AX-89873721,8.681
1A,AX-89874266,8.681
1A,AX-89874573,8.681
1A,AX-89874669,8.681
1A,AX-89874281,8.681
1A,AX-89874282,8.681
1A,AX-89904137,8.681
1A,AX-89846876,8.681
1A,AX-89873775,9.018
1A,AX-89904219,9.018
1A,AX-89874602,9.018
1A,AX-89847000,9.018
1A,AX-89817396,9.018
1A,AX-89817366,9.018
1A,AX-89813032,9.018
1A,AX-89779560,9.018
1A,AX-89779224,9.018
1A,AX-89812318,9.018
1A,AX-89812375,9.018
1A,AX-89873900,9.018
1A,AX-89803213,9.018
1A,AX-89817537,9.018
1A,AX-89874633,9.018
1A,AX-89779473,9.018
